loading screen drawn
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:844mouse y:146
mouse x:841mouse y:148
mouse x:834mouse y:156
mouse x:829mouse y:169
mouse x:823mouse y:180
mouse x:806mouse y:221
mouse x:775mouse y:284
mouse x:761mouse y:316
mouse x:735mouse y:373
mouse x:711mouse y:424
mouse x:701mouse y:451
mouse x:681mouse y:506
mouse x:670mouse y:525
mouse x:659mouse y:541
mouse x:654mouse y:553
mouse x:652mouse y:562
mouse x:651mouse y:565
mouse x:651mouse y:566
mouse x:646mouse y:575
mouse x:642mouse y:585
mouse x:641mouse y:589
mouse x:640mouse y:590
mouse x:640mouse y:590
mouse x:640mouse y:590
mouse x:640mouse y:590
mouse x:640mouse y:590
mouse x:640mouse y:590
mouse x:640mouse y:591
mouse x:638mouse y:598
mouse x:634mouse y:611
mouse x:632mouse y:617
mouse x:631mouse y:621
mouse x:631mouse y:621
mouse x:631mouse y:621
mouse x:631mouse y:621
mouse x:631mouse y:621
